,label,percentage
106.mp3,female_south,98.03%
107.mp3,female_south,87.76%
108.mp3,female_south,78.62%
110.wav,female_south,49.68%
112.mp3,female_south,99.82%
114.mp3,female_south,99.80%
115.mp3,female_south,99.85%
116.wav,female_south,99.28%
118.mp3,female_south,99.86%
119.mp3,female_south,98.62%
120.wav,female_south,72.79%
121.amr,female_south,99.61%
126.wav,female_south,99.38%
127.mp3,female_south,87.38%
132.wav,female_south,99.37%
133.mp3,female_south,99.90%
136.wav,female_south,99.94%
138.amr,female_south,61.35%
139.amr,female_south,99.98%
140.mp3,female_south,71.29%
141.mp3,female_south,99.89%
144.amr,female_south,78.97%
145.mp3,female_south,99.97%
146.mp3,female_south,88.74%
147.mp3,female_south,97.11%
148.wav,female_south,99.04%
150.amr,female_south,95.81%
152.mp3,female_south,95.64%
153.mp3,female_south,99.79%
154.mp3,female_south,69.29%
158.amr,female_south,99.81%
161.amr,female_south,97.72%
162.mp3,female_south,74.88%
163.amr,female_south,99.93%
164.mp3,female_south,88.08%
165.wav,female_south,46.90%
166.amr,female_south,97.50%
168.wav,female_south,99.97%
169.mp3,female_south,99.94%
170.mp3,female_south,99.55%
171.mp3,female_south,98.37%
172.mp3,female_south,99.75%
173.amr,female_south,96.79%
174.amr,female_south,98.27%
175.amr,female_south,87.48%
176.wav,female_south,87.66%
177.amr,female_south,99.96%
178.mp3,female_south,99.55%
179.mp3,female_south,99.69%
180.amr,female_south,97.64%
181.wav,female_south,99.97%
182.mp3,female_south,76.23%
183.wav,female_south,97.42%
185.mp3,female_south,98.35%
186.mp3,female_south,76.47%
187.mp3,female_south,99.66%
190.mp3,female_south,99.86%
191.wav,female_south,99.57%
192.wav,female_south,99.92%
193.mp3,female_south,99.85%
194.wav,female_south,97.73%
197.mp3,female_south,99.68%
198.amr,female_south,99.67%
199.amr,female_south,99.58%
202.mp3,female_south,98.05%
205.mp3,female_south,99.09%
206.amr,female_south,99.80%
209.amr,female_south,99.60%
211.mp3,female_south,60.31%
212.wav,female_south,98.99%
213.mp3,female_south,93.93%
214.amr,female_south,72.46%
215.mp3,female_south,99.77%
217.amr,female_south,99.92%
218.mp3,female_south,99.62%
219.amr,female_south,87.56%
220.amr,female_south,63.78%
221.amr,female_south,99.68%
222.mp3,female_south,99.87%
223.mp3,female_south,99.69%
224.mp3,female_south,99.88%
225.mp3,female_south,99.93%
227.wav,female_south,88.71%
228.amr,female_south,99.92%
229.wav,female_south,46.01%
230.amr,female_south,99.90%
231.amr,female_south,99.96%
232.mp3,female_south,95.87%
234.mp3,female_south,87.33%
235.amr,female_south,93.40%
236.mp3,female_south,95.25%
238.amr,female_south,98.29%
239.mp3,female_south,99.85%
240.mp3,female_south,77.76%
241.mp3,female_south,99.80%
242.mp3,female_south,95.19%
243.amr,female_south,96.36%
244.amr,female_south,99.87%
246.amr,female_south,99.92%
247.amr,female_south,55.73%
248.mp3,female_south,90.93%
251.wav,female_south,94.30%
252.amr,female_south,99.66%
253.mp3,female_south,66.15%
254.amr,female_south,99.93%
255.wav,female_south,99.68%
256.wav,female_south,99.94%
257.mp3,female_south,96.12%
258.mp3,female_south,99.26%
259.mp3,female_south,99.52%
260.mp3,female_south,52.05%
261.mp3,female_south,97.32%
262.mp3,female_south,99.62%
265.wav,female_south,99.95%
266.mp3,female_south,69.53%
267.wav,female_south,94.47%
268.wav,female_south,99.92%
270.mp3,female_south,99.93%
271.amr,female_south,93.56%
272.mp3,female_south,99.39%
273.mp3,female_south,99.61%
274.amr,female_south,86.20%
275.mp3,female_south,99.87%
276.wav,female_south,99.74%
277.mp3,female_south,94.43%
280.amr,female_south,99.63%
281.mp3,female_south,81.70%
282.mp3,female_south,59.42%
284.amr,female_south,98.16%
285.wav,female_south,99.96%
286.amr,female_south,99.40%
287.mp3,female_south,99.76%
288.mp3,female_south,99.73%
290.wav,female_south,99.89%
292.mp3,female_south,99.22%
293.amr,female_south,92.91%
294.amr,female_south,99.83%
295.mp3,female_south,99.93%
297.mp3,female_south,99.90%
298.mp3,female_south,93.56%
299.amr,female_south,98.28%
301.wav,female_south,99.56%
303.mp3,female_south,99.98%
304.wav,female_south,94.75%
305.amr,female_south,83.50%
308.mp3,female_south,99.89%
309.mp3,female_south,90.35%
311.mp3,female_south,99.64%
313.mp3,female_south,99.95%
314.mp3,female_south,99.93%
315.amr,female_south,99.81%
317.mp3,female_south,87.88%
318.mp3,female_south,99.56%
319.wav,female_south,99.37%
320.wav,female_south,77.07%
321.mp3,female_south,99.85%
322.mp3,female_south,99.62%
323.mp3,female_south,81.22%
324.mp3,female_south,80.73%
325.amr,female_south,99.92%
327.mp3,female_south,99.96%
328.mp3,female_south,93.16%
329.wav,female_south,99.93%
331.mp3,female_south,99.63%
332.wav,female_south,99.96%
333.amr,female_south,89.73%
336.mp3,female_south,98.17%
337.mp3,female_south,99.54%
338.wav,female_south,95.76%
341.mp3,female_south,99.87%
342.wav,female_south,99.42%
343.wav,female_south,99.92%
344.wav,female_south,99.89%
345.mp3,female_south,99.90%
347.amr,female_south,99.92%
348.mp3,female_south,64.99%
349.mp3,female_south,99.88%
350.amr,female_south,99.94%
351.wav,female_south,99.75%
352.mp3,female_south,99.88%
353.mp3,female_south,97.15%
354.mp3,female_south,96.89%
355.amr,female_south,99.17%
356.amr,female_south,96.07%
358.amr,female_south,92.91%
359.mp3,female_south,98.22%
360.wav,female_south,98.28%
363.mp3,female_south,99.83%
365.mp3,female_south,99.80%
367.mp3,female_south,99.85%
368.mp3,female_south,98.77%
369.amr,female_south,99.94%
370.mp3,female_south,98.21%
372.amr,female_south,97.23%
374.amr,female_south,99.92%
376.mp3,female_south,98.38%
377.mp3,female_south,99.95%
378.mp3,female_south,99.75%
379.amr,female_south,69.76%
380.amr,female_south,99.93%
381.amr,female_south,84.29%
382.mp3,female_south,97.92%
383.mp3,female_south,99.80%
384.mp3,female_south,99.65%
386.mp3,female_south,96.99%
388.mp3,female_south,99.78%
389.mp3,female_south,97.25%
391.wav,female_south,97.83%
392.mp3,female_south,49.28%
395.amr,female_south,66.16%
397.amr,female_south,95.69%
399.wav,female_south,99.95%
400.amr,female_south,99.52%
401.amr,female_south,99.97%
404.mp3,female_south,99.32%
406.amr,female_south,96.45%
407.wav,female_south,99.90%
409.mp3,female_south,99.42%
410.wav,female_south,91.33%
411.mp3,female_south,99.43%
412.wav,female_south,97.26%
413.mp3,female_south,99.92%
414.amr,female_south,99.68%
415.wav,female_south,99.41%
417.mp3,female_south,99.48%
418.amr,female_south,99.50%
420.wav,female_south,98.81%
421.wav,female_south,58.46%
422.amr,female_south,99.89%
423.amr,female_south,95.20%
424.mp3,female_south,99.41%
425.mp3,female_south,89.32%
426.mp3,female_south,91.24%
427.mp3,female_south,98.70%
428.amr,female_south,99.78%
429.amr,female_south,99.85%
430.amr,female_south,99.62%
431.wav,female_south,49.55%
433.mp3,female_south,95.61%
434.mp3,female_south,98.78%
435.amr,female_south,96.95%
437.amr,female_south,97.83%
438.mp3,female_south,99.93%
439.amr,female_south,99.82%
440.wav,female_south,98.83%
441.mp3,female_south,99.00%
443.amr,female_south,99.94%
446.wav,female_south,99.88%
448.amr,female_south,99.20%
449.mp3,female_south,92.23%
450.mp3,female_south,68.19%
451.mp3,female_south,99.80%
452.mp3,female_south,99.84%
453.amr,female_south,99.79%
454.mp3,female_south,99.85%
456.amr,female_south,99.80%
458.mp3,female_south,89.13%
459.mp3,female_south,70.69%
460.mp3,female_south,99.66%
462.wav,female_south,99.06%
463.amr,female_south,96.70%
464.mp3,female_south,99.88%
466.wav,female_south,99.90%
467.amr,female_south,98.07%
468.wav,female_south,99.68%
469.mp3,female_south,99.13%
470.mp3,female_south,99.90%
471.wav,female_south,99.53%
472.mp3,female_south,99.56%
473.amr,female_south,56.81%
474.amr,female_south,96.58%
475.mp3,female_south,99.91%
476.amr,female_south,76.83%
477.mp3,female_south,99.92%
478.mp3,female_south,99.26%
479.mp3,female_south,99.96%
480.amr,female_south,87.44%
481.amr,female_south,99.87%
482.amr,female_south,99.95%
484.mp3,female_south,98.90%
486.mp3,female_south,72.50%
487.mp3,female_south,99.57%
488.amr,female_south,99.26%
490.mp3,female_south,99.81%
491.mp3,female_south,67.84%
493.mp3,female_south,99.51%
495.mp3,female_south,76.06%
496.mp3,female_south,96.32%
497.wav,female_south,99.27%
498.amr,female_south,98.19%
499.wav,female_south,58.65%
500.wav,female_south,99.87%
501.mp3,female_south,94.00%
504.amr,female_south,99.39%
505.mp3,female_south,99.71%
506.mp3,female_south,78.06%
507.amr,female_south,99.72%
508.amr,female_south,77.80%
509.mp3,female_south,97.63%
511.amr,female_south,89.16%
513.amr,female_south,95.23%
515.mp3,female_south,97.42%
516.wav,female_south,99.99%
518.mp3,female_south,83.15%
519.wav,female_south,65.82%
521.wav,female_south,99.91%
522.amr,female_south,99.81%
523.mp3,female_south,95.03%
524.mp3,female_south,99.82%
525.amr,female_south,91.23%
527.mp3,female_south,99.94%
528.amr,female_south,99.96%
529.amr,female_south,99.92%
530.mp3,female_south,99.97%
531.mp3,female_south,99.87%
534.mp3,female_south,99.06%
535.wav,female_south,99.60%
537.mp3,female_south,99.93%
538.amr,female_south,99.62%
541.mp3,female_south,56.63%
542.amr,female_south,99.72%
544.mp3,female_south,99.85%
545.mp3,female_south,97.96%
546.wav,female_south,99.69%
548.mp3,female_south,90.68%
549.mp3,female_south,99.94%
550.wav,female_south,99.51%
553.wav,female_south,74.85%
554.amr,female_south,99.43%
555.wav,female_south,96.38%
557.mp3,female_south,99.68%
558.mp3,female_south,84.61%
560.mp3,female_south,61.30%
561.mp3,female_south,82.33%
563.mp3,female_south,89.92%
564.wav,female_south,99.42%
565.amr,female_south,99.92%
566.mp3,female_south,58.38%
567.mp3,female_south,99.87%
568.mp3,female_south,99.09%
569.amr,female_south,98.75%
570.amr,female_south,99.65%
574.mp3,female_south,98.55%
575.mp3,female_south,56.12%
576.mp3,female_south,99.83%
577.amr,female_south,99.98%
578.amr,female_south,99.91%
579.mp3,female_south,99.77%
580.mp3,female_south,87.20%
581.wav,female_south,99.90%
582.wav,female_south,99.96%
583.amr,female_south,97.53%
586.amr,female_south,95.99%
587.mp3,female_south,98.83%
590.mp3,female_south,99.93%
591.mp3,female_south,99.92%
592.mp3,female_south,84.33%
595.amr,female_south,99.93%
596.amr,female_south,99.21%
597.amr,female_south,99.96%
598.amr,female_south,99.96%
599.mp3,female_south,46.14%
601.amr,female_south,88.33%
602.mp3,female_south,99.91%
603.amr,female_south,85.24%
604.amr,female_south,99.05%
605.mp3,female_south,99.96%
606.mp3,female_south,99.83%
607.amr,female_south,99.89%
609.mp3,female_south,40.46%
610.wav,female_south,99.88%
611.mp3,female_south,99.63%
612.amr,female_south,99.40%
613.mp3,female_south,99.95%
614.mp3,female_south,99.02%
615.mp3,female_south,99.47%
616.mp3,female_south,98.97%
617.mp3,female_south,99.72%
619.mp3,female_south,96.67%
620.mp3,female_south,98.39%
621.mp3,female_south,99.90%
622.wav,female_south,99.94%
623.mp3,female_south,98.22%
625.mp3,female_south,53.05%
628.mp3,female_south,97.75%
629.amr,female_south,99.96%
630.mp3,female_south,99.79%
632.amr,female_south,56.69%
633.wav,female_south,65.75%
634.amr,female_south,99.91%
635.mp3,female_south,99.92%
636.wav,female_south,94.95%
637.wav,female_south,98.80%
638.wav,female_south,99.66%
640.mp3,female_south,99.04%
641.wav,female_south,93.10%
643.wav,female_south,99.62%
644.mp3,female_south,99.58%
645.wav,female_south,97.04%
646.amr,female_south,99.20%
647.wav,female_south,99.98%
648.wav,female_south,99.94%
650.mp3,female_south,75.51%
653.amr,female_south,93.95%
654.wav,female_south,68.20%
655.mp3,female_south,98.21%
656.mp3,female_south,99.85%
657.amr,female_south,99.92%
659.mp3,female_south,99.38%
660.mp3,female_south,98.31%
663.amr,female_south,99.85%
665.mp3,female_south,99.81%
666.amr,female_south,96.61%
667.amr,female_south,99.88%
668.wav,female_south,99.96%
670.wav,female_south,99.26%
671.amr,female_south,99.80%
672.mp3,female_south,99.74%
673.wav,female_south,99.93%
674.wav,female_south,94.65%
676.amr,female_south,98.66%
677.mp3,female_south,99.91%
678.mp3,female_south,98.45%
680.mp3,female_south,97.57%
681.mp3,female_south,56.17%
682.amr,female_south,99.69%
684.mp3,female_south,99.95%
685.amr,female_south,99.93%
686.amr,female_south,99.09%
688.amr,female_south,88.27%
689.wav,female_south,96.86%
690.mp3,female_south,99.32%
691.mp3,female_south,99.91%
692.amr,female_south,98.44%
693.wav,female_south,54.65%
694.mp3,female_south,99.90%
695.mp3,female_south,99.75%
697.wav,female_south,98.86%
698.amr,female_south,78.30%
699.mp3,female_south,99.37%
700.amr,female_south,98.00%
702.mp3,female_south,45.71%
703.mp3,female_south,99.80%
704.mp3,female_south,99.97%
705.amr,female_south,99.94%
706.wav,female_south,99.90%
707.mp3,female_south,99.93%
709.mp3,female_south,98.74%
710.amr,female_south,95.53%
711.amr,female_south,96.29%
712.wav,female_south,94.79%
713.wav,female_south,98.08%
714.amr,female_south,99.90%
715.amr,female_south,90.17%
716.amr,female_south,99.71%
718.amr,female_south,99.12%
719.wav,female_south,90.89%
721.mp3,female_south,98.74%
722.mp3,female_south,98.45%
725.wav,female_south,98.74%
726.mp3,female_south,98.97%
727.mp3,female_south,98.81%
728.mp3,female_south,96.91%
730.amr,female_south,92.53%
731.amr,female_south,99.94%
732.amr,female_south,99.24%
733.mp3,female_south,99.94%
734.wav,female_south,92.08%
735.wav,female_south,99.44%
736.amr,female_south,91.21%
737.mp3,female_south,99.89%
738.amr,female_south,99.55%
740.wav,female_south,91.19%
741.mp3,female_south,99.26%
742.wav,female_south,65.79%
743.mp3,female_south,99.92%
744.amr,female_south,82.71%
745.wav,female_south,63.30%
746.mp3,female_south,96.28%
747.amr,female_south,99.21%
748.mp3,female_south,99.23%
750.amr,female_south,79.68%
751.wav,female_south,56.09%
752.mp3,female_south,83.32%
753.mp3,female_south,99.93%
754.amr,female_south,99.90%
755.mp3,female_south,94.95%
757.amr,female_south,99.92%
758.wav,female_south,99.97%
759.amr,female_south,99.79%
760.wav,female_south,99.91%
761.amr,female_south,83.19%
762.mp3,female_south,76.51%
763.amr,female_south,99.77%
764.amr,female_south,99.94%
765.mp3,female_south,79.10%
766.amr,female_south,99.63%
767.wav,female_south,55.67%
768.wav,female_south,76.21%
769.mp3,female_south,99.90%
770.wav,female_south,87.77%
771.mp3,female_south,99.13%
772.wav,female_south,99.92%
773.amr,female_south,99.80%
776.amr,female_south,97.61%
777.mp3,female_south,80.35%
779.wav,female_south,98.70%
780.mp3,female_south,99.95%
781.amr,female_south,95.54%
782.mp3,female_south,99.90%
784.mp3,female_south,98.08%
785.wav,female_south,98.24%
786.amr,female_south,98.30%
787.amr,female_south,99.83%
789.amr,female_south,99.91%
790.amr,female_south,93.52%
791.mp3,female_south,99.89%
792.mp3,female_south,82.55%
795.mp3,female_south,99.69%
796.wav,female_south,87.62%
797.mp3,female_south,97.52%
798.wav,female_south,97.58%
799.amr,female_south,99.64%
800.wav,female_south,99.49%
801.amr,female_south,93.18%
802.mp3,female_south,99.12%
804.amr,female_south,99.93%
805.amr,female_south,97.54%
806.mp3,female_south,99.62%
807.mp3,female_south,99.94%
808.amr,female_south,99.96%
809.amr,female_south,99.13%
810.mp3,female_south,84.71%
811.mp3,female_south,99.02%
812.mp3,female_south,91.36%
813.mp3,female_south,98.57%
815.amr,female_south,97.74%
816.mp3,female_south,99.88%
817.mp3,female_south,99.86%
819.mp3,female_south,99.88%
820.wav,female_south,87.22%
822.mp3,female_south,99.84%
823.wav,female_south,95.36%
824.wav,female_south,99.68%
825.mp3,female_south,99.91%
826.wav,female_south,75.93%
827.mp3,female_south,98.98%
828.mp3,female_south,99.87%
829.mp3,female_south,98.50%
830.mp3,female_south,95.98%
834.mp3,female_south,99.79%
836.mp3,female_south,96.41%
837.mp3,female_south,99.46%
840.mp3,female_south,99.88%
841.wav,female_south,98.41%
842.wav,female_south,99.69%
845.amr,female_south,99.57%
846.mp3,female_south,99.89%
847.mp3,female_south,98.13%
848.amr,female_south,93.60%
849.amr,female_south,99.95%
850.mp3,female_south,97.81%
852.mp3,female_south,99.85%
854.amr,female_south,99.92%
855.mp3,female_south,99.22%
856.mp3,female_south,50.62%
857.amr,female_south,56.49%
858.wav,female_south,98.65%
860.mp3,female_south,99.97%
861.wav,female_south,99.65%
862.mp3,female_south,99.56%
863.mp3,female_south,99.78%
866.mp3,female_south,95.54%
867.amr,female_south,99.00%
870.mp3,female_south,99.81%
872.amr,female_south,99.57%
873.wav,female_south,98.84%
875.amr,female_south,99.22%
876.mp3,female_south,99.85%
877.mp3,female_south,74.28%
878.mp3,female_south,87.54%
879.amr,female_south,95.44%
880.wav,female_south,83.72%
881.wav,female_south,50.34%
882.wav,female_south,99.91%
884.amr,female_south,79.50%
886.mp3,female_south,99.93%
887.wav,female_south,99.26%
888.mp3,female_south,97.00%
889.mp3,female_south,99.67%
890.mp3,female_south,87.58%
891.amr,female_south,99.93%
892.amr,female_south,99.04%
894.amr,female_south,76.69%
895.mp3,female_south,99.90%
898.amr,female_south,99.94%
899.wav,female_south,99.98%
901.mp3,female_south,99.69%
903.wav,female_south,99.23%
904.wav,female_south,99.96%
905.wav,female_south,99.80%
907.amr,female_south,89.64%
910.wav,female_south,63.63%
911.wav,female_south,99.61%
912.wav,female_south,99.72%
913.mp3,female_south,77.76%
914.mp3,female_south,99.85%
915.mp3,female_south,99.93%
916.wav,female_south,99.80%
917.amr,female_south,99.92%
918.mp3,female_south,80.86%
920.amr,female_south,99.89%
921.wav,female_south,80.34%
923.amr,female_south,99.81%
924.mp3,female_south,97.74%
925.mp3,female_south,99.86%
926.wav,female_south,99.95%
928.mp3,female_south,99.81%
929.amr,female_south,99.53%
931.wav,female_south,34.25%
932.mp3,female_south,99.41%
933.amr,female_south,99.91%
935.amr,female_south,97.42%
936.mp3,female_south,99.50%
937.amr,female_south,99.62%
938.mp3,female_south,99.83%
940.wav,female_south,94.11%
942.amr,female_south,99.85%
943.wav,female_south,99.69%
944.wav,female_south,99.72%
945.mp3,female_south,93.21%
946.amr,female_south,99.95%
947.wav,female_south,99.37%
948.mp3,female_south,97.80%
949.amr,female_south,95.57%
950.mp3,female_south,71.87%
951.wav,female_south,99.54%
952.mp3,female_south,99.85%
953.amr,female_south,99.77%
954.amr,female_south,97.14%
956.mp3,female_south,99.86%
958.wav,female_south,99.53%
959.amr,female_south,99.62%
960.mp3,female_south,99.44%
961.amr,female_south,99.94%
962.amr,female_south,99.93%
963.mp3,female_south,65.04%
964.wav,female_south,99.51%
965.amr,female_south,97.59%
966.amr,female_south,98.77%
968.mp3,female_south,99.93%
969.mp3,female_south,57.94%
970.mp3,female_south,99.84%
971.mp3,female_south,99.57%
972.amr,female_south,99.96%
973.mp3,female_south,75.24%
974.amr,female_south,98.33%
975.wav,female_south,99.92%
976.wav,female_south,98.33%
977.wav,female_south,99.99%
978.wav,female_south,99.85%
979.wav,female_south,99.96%
980.wav,female_south,99.92%
981.wav,female_south,99.80%
982.wav,female_south,99.95%
983.wav,female_south,99.98%
984.wav,female_south,99.98%
985.wav,female_south,99.97%
986.wav,female_south,99.54%
987.wav,female_south,99.99%
988.wav,female_south,99.97%
989.wav,female_south,99.02%
990.wav,female_south,99.47%
991.wav,female_south,97.27%
992.wav,female_south,99.82%
993.wav,female_south,99.87%
994.wav,female_south,99.38%
995.wav,female_south,99.41%
996.wav,female_south,78.12%
997.wav,female_south,97.16%
998.wav,female_south,60.53%
999.wav,female_south,58.13%
1000.wav,female_south,99.86%
1002.wav,female_south,99.24%
1003.wav,female_south,96.61%
1004.wav,female_south,82.67%
1005.wav,female_south,89.51%
1006.wav,female_south,91.12%
1007.wav,female_south,99.98%
1008.wav,female_south,99.98%
1009.wav,female_south,99.96%
1010.wav,female_south,99.39%
1011.wav,female_south,99.94%
1012.wav,female_south,99.77%
1013.wav,female_south,99.85%
1014.wav,female_south,99.93%
1015.wav,female_south,99.98%
1016.wav,female_south,99.92%
1017.wav,female_south,99.89%
1018.wav,female_south,99.87%
1019.wav,female_south,99.98%
1020.wav,female_south,99.99%
1021.wav,female_south,99.74%
1022.wav,female_south,97.77%
1023.wav,female_south,99.93%
1024.wav,female_south,99.90%
1025.wav,female_south,99.98%
1026.wav,female_south,97.64%
1028.wav,female_south,54.39%
1030.wav,female_south,70.98%
1032.wav,female_south,98.79%
1033.wav,female_south,98.90%
1034.wav,female_south,90.99%
1035.wav,female_south,99.87%
1039.wav,female_south,99.97%
1040.wav,female_south,99.54%
1041.wav,female_south,99.61%
1043.wav,female_south,90.02%
1045.wav,female_south,99.93%
1046.wav,female_south,99.13%
1047.wav,female_south,99.88%
1049.wav,female_south,83.82%
1050.wav,female_south,99.87%
1051.wav,female_south,99.18%
1052.wav,female_south,99.66%
1053.wav,female_south,99.75%
1056.wav,female_south,81.00%
1058.wav,female_south,99.78%
1060.wav,female_south,94.44%
1061.wav,female_south,58.73%
1063.wav,female_south,97.05%
1065.wav,female_south,99.03%
1068.wav,female_south,99.08%
1069.wav,female_south,94.80%
1070.wav,female_south,99.67%
1071.wav,female_south,80.64%
1072.wav,female_south,99.69%
1073.wav,female_south,99.26%
1074.wav,female_south,99.29%
1075.wav,female_south,99.32%
1078.wav,female_south,99.91%
1079.wav,female_south,99.89%
1080.wav,female_south,99.28%
1081.wav,female_south,99.96%
1082.wav,female_south,99.62%
1083.wav,female_south,91.04%
1084.wav,female_south,99.93%
1085.wav,female_south,98.41%
1086.wav,female_south,88.44%
1087.wav,female_south,98.16%
1088.wav,female_south,99.10%
1089.wav,female_south,99.90%
1091.wav,female_south,99.69%
1092.wav,female_south,99.81%
1093.wav,female_south,99.29%
1094.wav,female_south,99.94%
1095.wav,female_south,99.68%
1096.wav,female_south,99.74%
1097.wav,female_south,96.10%
1098.wav,female_south,99.59%
1099.wav,female_south,99.70%
1100.wav,female_south,99.89%
1101.wav,female_south,99.94%
1102.wav,female_south,99.76%
1103.wav,female_south,99.93%
1104.wav,female_south,99.88%
1105.wav,female_south,99.88%
1106.wav,female_south,99.84%
1107.wav,female_south,99.96%
1108.wav,female_south,96.96%
1109.wav,female_south,99.96%
1110.wav,female_south,99.90%
1111.wav,female_south,99.91%
1112.wav,female_south,98.97%
1113.wav,female_south,99.85%
1114.wav,female_south,99.89%
1115.wav,female_south,99.92%
1116.wav,female_south,92.11%
1117.wav,female_south,99.98%
1118.wav,female_south,99.66%
1119.wav,female_south,91.41%
1120.wav,female_south,80.61%
1121.wav,female_south,99.91%
1122.wav,female_south,95.54%
1123.wav,female_south,99.91%
1124.wav,female_south,99.50%
1125.wav,female_south,99.91%
1126.wav,female_south,99.59%
1127.wav,female_south,99.85%
1128.wav,female_south,99.90%
1129.wav,female_south,99.89%
1130.wav,female_south,99.85%
1131.wav,female_south,99.74%
1132.wav,female_south,99.82%
1133.wav,female_south,99.88%
1134.wav,female_south,99.88%
1135.wav,female_south,99.96%
1136.wav,female_south,99.97%
1137.wav,female_south,99.93%
1138.wav,female_south,99.97%
1139.wav,female_south,99.97%
1140.wav,female_south,99.92%
1141.wav,female_south,99.93%
1142.wav,female_south,96.78%
1143.wav,female_south,99.85%
1144.wav,female_south,99.98%
1145.wav,female_south,99.90%
1146.wav,female_south,99.98%
1147.wav,female_south,99.80%
1148.wav,female_south,99.89%
1149.wav,female_south,99.90%
1156.wav,female_south,99.89%
1157.wav,female_south,99.93%
1159.wav,female_south,48.16%
1162.wav,female_south,99.92%
1163.wav,female_south,99.98%
1164.wav,female_south,99.93%
1165.wav,female_south,99.95%
1166.wav,female_south,99.71%
1167.wav,female_south,99.85%
1168.wav,female_south,99.26%
1169.wav,female_south,90.95%
1170.wav,female_south,96.79%
1171.wav,female_south,98.97%
1173.wav,female_south,97.45%
1174.wav,female_south,98.72%
1175.wav,female_south,99.35%
1176.wav,female_south,96.67%
1177.wav,female_south,99.90%
1178.wav,female_south,43.63%
1179.wav,female_south,88.74%
1180.wav,female_south,99.64%
1181.wav,female_south,99.96%
1182.wav,female_south,99.83%
1183.wav,female_south,98.36%
1184.wav,female_south,96.36%
1185.wav,female_south,97.48%
1186.wav,female_south,99.83%
1187.wav,female_south,85.58%
1188.wav,female_south,99.96%
1189.wav,female_south,99.72%
1190.wav,female_south,99.89%
1191.wav,female_south,99.94%
1193.wav,female_south,99.90%
1194.wav,female_south,99.96%
1195.wav,female_south,99.77%
1196.wav,female_south,98.42%
1197.wav,female_south,82.19%
1203.wav,female_central,99.92%
1204.wav,female_central,86.76%
1205.wav,female_central,79.90%
1206.wav,female_central,99.47%
1208.wav,female_central,99.70%
1209.wav,female_central,76.91%
1210.wav,female_central,99.65%
1212.wav,female_central,98.03%
1214.wav,female_central,99.21%
1215.wav,female_central,99.32%
1216.wav,female_central,96.73%
1217.wav,female_central,97.29%
1218.wav,female_central,99.88%
1219.wav,female_central,99.13%
1220.wav,female_central,99.62%
1221.wav,female_central,99.95%
1222.wav,female_central,99.70%
1223.wav,female_central,99.30%
1225.wav,female_central,96.56%
1226.wav,female_central,99.90%
1227.wav,female_central,99.88%
1228.wav,female_central,99.51%
1229.wav,female_central,99.86%
1231.wav,female_central,96.60%
1232.wav,female_central,53.82%
1233.wav,female_central,99.92%
1234.wav,female_central,91.88%
1236.wav,female_central,97.68%
1237.wav,female_central,99.56%
1238.wav,female_central,91.73%
1239.wav,female_central,99.98%
1241.wav,female_central,89.93%
1242.wav,female_central,99.17%
1243.wav,female_central,99.92%
1244.wav,female_central,99.75%
1245.wav,female_central,99.61%
1246.wav,female_central,98.80%
